Chapter,ID,People/Event
22,people_bd51343ae1296e5fcfbc1ff629830b3a,david_994
22,people_8392c0923cc9ae5b21f55fb5281ae163,isaac_616
22,people_74fc34c0591dc0c0a09fa2413e4e4e51,jesus_905
22,people_54391b8dee1376fe9bffd83cebd93a08,moses_2108
22,people_12f80b516bb106941288062f032b4401,god_1324
23,people_d47a54326157b2d99e98758f7f8179b9,jehoiada_793
23,people_8e7cf573394e8deacb012532c152bbcd,josiah_1731
23,people_74fc34c0591dc0c0a09fa2413e4e4e51,jesus_905
23,people_6a2e469e45e442e49529006a2af412e4,abel_13
23,people_12f80b516bb106941288062f032b4401,god_1324
23,people_05ffe84a3f84b6f7763fd9b21402fe7b,zacharias_3011
24,people_74fc34c0591dc0c0a09fa2413e4e4e51,jesus_905
24,people_6b8d004e4a8ac1c7433c48fefbb9826a,noah_2210
24,people_4d0451e25ef8abd8964fb571650cbd68,daniel_975
24,people_12f80b516bb106941288062f032b4401,god_1324
25,people_74fc34c0591dc0c0a09fa2413e4e4e51,jesus_905
25,people_12f80b516bb106941288062f032b4401,god_1324
26,people_db4584018d1e7f706bb6d658907621e8,caiaphas_532
26,people_7d2f5bd6921e95e8849674d851c612fa,judas_1760
26,people_74fc34c0591dc0c0a09fa2413e4e4e51,jesus_905
26,people_4bf67500f08793f129cf5ab316d3977b,simon_2748
26,people_45c0ff7229d4da2688dd795f2da58e10,peter_2745
26,people_30469efa198a8c9581922372eef941b3,zebedee_2998
26,people_12f80b516bb106941288062f032b4401,god_1324
27,people_e4323b2dbe1bf9463e06f6223587e1db,joses_1721
27,people_df38e94bf75563d2ee4e067af0d2101f,pilate_2365
27,people_db78b6b7bb3cbb577eb291deb4937965,israel_682
27,people_cfa5fef77cff8b9e730be4eb47e74e8d,jeremiah_853
27,people_afc894c8ce784ab84a6fc8a729649a32,barabbas_399
27,people_7d2f5bd6921e95e8849674d851c612fa,judas_1760
27,people_74fc34c0591dc0c0a09fa2413e4e4e51,jesus_905
27,people_6ec68534b4e1c4810335a87803ed2625,mother_of_zebedees_children_2112
27,people_68001227cf22370ef85b27769401ecac,joseph_1716
27,people_670098ef71f00335389b123e7829f7d5,elijah_1131
27,people_65fc31445556e182fa8c07f307ecbb3d,mary_1943
27,people_64edd915bba88b3de89e9050a7d71faa,simon_2749
27,people_4f7b3a73656bff7de74161977342b79f,james_719
27,people_30469efa198a8c9581922372eef941b3,zebedee_2998
27,people_1a5d2e2edcfd900819e6f554077feace,mary_1940
27,people_12f80b516bb106941288062f032b4401,god_1324
28,people_8f367c1b11a63a2c205a984f71382a98,holy_spirit_7400
28,people_74fc34c0591dc0c0a09fa2413e4e4e51,jesus_905
28,people_65fc31445556e182fa8c07f307ecbb3d,mary_1943
28,people_1a5d2e2edcfd900819e6f554077feace,mary_1940
28,people_12f80b516bb106941288062f032b4401,god_1324
